nation                                       orders
ALGERIA                                          30
ARGENTINA                                        30
BRAZIL                                           58
CANADA                                           22
CHINA                                            79
EGYPT                                            54
ETHIOPIA                                         26
FRANCE                                           25
GERMANY                                          53
INDIA                                            78
INDONESIA                                        58
IRAN                                             22
IRAQ                                             32
JAPAN                                            43
JORDAN                                           16
KENYA                                            68
MOROCCO                                          26
MOZAMBIQUE                                       83
PERU                                             56
RUSSIA                                           51
SAUDI ARABIA                                     10
UNITED KINGDOM                                   30
UNITED STATES                                    85
VIETNAM                                          73
