nation                     numW     totCap
CANADA                       36      71906
EGYPT                        28      54250
IRAN                         24      45648
BRAZIL                       21      41402
ALGERIA                      14      25344
JAPAN                        11      21398
SAUDI ARABIA                 11      22388
INDONESIA                    10      18728
ROMANIA                       9      17912
MOROCCO                       6      11574
MOZAMBIQUE                    6      12120
UNITED KINGDOM                5       9244
GERMANY                       4       7558
VIETNAM                       4       7570
KENYA                         3       6004
IRAQ                          2       3812
JORDAN                        2       3436
ARGENTINA                     1       1964
ETHIOPIA                      1       2108
INDIA                         1       1942
UNITED STATES                 1       1908
